date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
14.04.21;Berlin;strict;strict;closed;partially open;partially open;closed;closed;closed
15.04.21;Berlin;strict;strict;closed;partially open;partially open;closed;closed;closed
16.04.21;Berlin;strict;strict;closed;partially open;partially open;closed;closed;closed
17.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
18.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
19.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
20.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
21.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
22.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
23.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
24.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
25.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
26.04.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
